"Guid","Amount","CloseDate","Description","ForecastCategoryName","LeadSource","Name","NextStep","Pricebook2Id","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","test_field__c"
000e2c40-5aab-4142-8364-66e946f94be3,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity yvvsc,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00109d1e-6feb-46c6-a7dc-3dbe7ed73b4c,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity nlmmt,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
001c965f-0a98-43de-bc97-10146b33331c,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity ywakz,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
001f49bb-7a9d-4f47-a459-8ec149345776,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity akqpg,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
001ff018-8221-4e70-b8df-f89a237aa434,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity bjopb,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0026bae0-cfd0-4f38-a5b5-b291e5f65265,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity zzsvt,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00350423-91b6-47c4-8cc3-d4ca5e59e64b,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity nehnu,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0035fd89-e04a-4f4d-b4ea-5f6ba28557a7,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity uiggt,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
00370571-1cd1-4a57-85b5-f3a5c85a726f,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity juief,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0037cf00-3ca5-4563-b385-4e49c859cc3d,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity uehoa,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0047030d-3cb4-4050-8d6a-a07053ee3ad0,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity bhvwr,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0048b817-654b-461e-8267-3ee9031ba537,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity bqxfl,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
004b89a8-71a7-487b-b567-a06a32095d8e,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity iqgvm,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
0052f93f-35d9-4e7a-bacc-3199ec3f453e,"#N/A",2021-02-02,"#N/A",Pipeline,"#N/A",Opportunity zpfac,"#N/A","#N/A",10.0,false,false,"#N/A",false,"#N/A",false,Prospecting,"#N/A","#N/A"
